id,symbol,entry_price,exit_price,pnl,long_ema,short_ema,adx,atr,rsi,volume,side,Profit/Loss (%),Label
93,ETHUSDT,2683.53,2687.564057142857,4.034057142856909,2675.346313104561,2675.5359266120677,30.141147410759253,5.602857142857082,57.44581682591512,4092.155,long,15.032651555439697,1
94,ETHUSDT,2686.17,2681.532857142857,-4.637142857142862,2675.586313104561,2676.0639266120675,30.76782028772658,5.796428571428513,59.91218441273354,6140.185,long,-17.263028241484573,0
95,BTCUSDT,96671.1,96751.39714285715,-80.29714285714726,96986.64229209349,96969.15541624869,25.825259352431356,100.37142857142835,38.71640407785068,623.241,short,-8.306220044785594,0
96,BTCUSDT,96800.2,96559.30857142856,240.89142857142724,96998.37865572984,96994.97541624866,25.825259352431356,100.37142857142835,45.525132815693006,756.756,short,24.885426742035843,1
97,BTCUSDT,96595.1,96692.98571428572,-97.88571428571596,96931.77582366856,96856.63626639916,32.007787990281976,122.3571428571439,30.019404177606265,506.372,short,-10.133610740681043,0
98,BTCUSDT,96369.6,96491.10285714286,-121.50285714285565,96857.31593923968,96755.55264537368,33.242644661708525,151.8785714285706,23.929597701149845,889.224,short,-12.608006792894816,0
99,BTCUSDT,96509.0,96396.464,112.53599999999278,96869.9886665124,96783.43264537369,33.52291221874113,156.29999999999876,26.592687210602293,1278.656,short,11.66067413401784,1
100,ETHUSDT,2658.28,2664.7057142857143,-6.425714285714093,2675.2762622951336,2672.749556153658,31.990185480160836,8.032142857142844,29.64601769911529,52926.768,short,-24.172450929601442,0
101,BTCUSDT,96427.5,96310.40742857145,117.0925714285695,96824.12606046585,96701.33411629897,35.91634837120425,162.62857142856956,22.750424448217487,595.841,short,12.14306825631225,1
102,BTCUSDT,96298.0,96139.30514285716,158.6948571428511,96771.36253430776,96611.11529303915,38.25697568104711,165.30714285714097,21.41508063344483,653.302,short,16.47955898802016,1
103,BTCUSDT,96124.6,96284.00571428573,-159.40571428572002,96599.6494611884,96378.80044002883,44.99431237953503,199.25714285714224,20.917579095855302,745.029,short,-16.58323824345901,0
104,BNBUSDT,671.7,672.7457142857144,-1.0457142857143251,674.1879403493027,673.2499700525528,35.46103520634629,1.3071428571428458,16.560509554139728,3802.12,short,-15.56817456772853,0
105,BTCUSDT,96366.6,96479.05714285714,112.4571428571362,96294.75663228496,96295.55957927798,25.146968874431955,117.14285714285714,52.45133756635814,53.129,long,11.669721963536764,1
106,ETHUSDT,2678.87,2674.1231428571427,-4.746857142857152,2669.6877092520217,2672.1655659994335,17.302318784268476,5.933571428571473,61.14578689255491,7614.648,long,-17.719624852483147,0
107,ETHUSDT,2656.5,2660.1142857142854,-3.614285714285415,2670.318173016663,2667.544300823809,25.62950149905081,4.5178571428570455,21.85514612452333,9311.294,short,-13.605442176869625,0
108,BTCUSDT,96066.5,96132.06,-65.55999999999767,96238.59138920058,96164.72800706934,28.621662170394774,81.95000000000125,24.761204996326228,333.21,short,-6.824439320678663,0
109,BNBUSDT,672.4,673.2557714285714,0.8557714285714155,671.360255148866,671.4549661120416,29.16001396293297,1.188571428571444,59.723964868255365,19.13,long,12.727118211948477,1
110,BNBUSDT,670.39,669.5429714285714,0.8470285714286092,671.5284875792144,671.5084955644751,25.023702498501436,1.1764285714285734,52.261306532663426,944.73,short,12.634862862342953,1
111,BTCUSDT,95975.7,96028.76285714284,-53.06285714285332,96136.70351030474,96076.15502176186,26.60317254433233,66.32857142857185,37.4311229336885,386.61,short,-5.528780424924097,0
112,BTCUSDT,95870.5,95807.29942857142,63.20057142857695,96087.10286483438,96024.75093771826,24.38468131553738,87.77857142857101,27.81896215372555,798.8,short,6.592285575706494,1
113,ETHUSDT,2642.25,2646.994,-4.744000000000142,2662.788000201052,2658.731784857463,24.114390699108668,5.930000000000031,19.261799112545603,53408.059,short,-17.954394928565208,0
114,BNBUSDT,666.39,667.5888571428571,-1.1988571428571504,669.864282161467,668.9809203066076,25.221042934031892,1.4985714285714218,22.253258845436875,9496.85,short,-17.99032312695494,0
115,BTCUSDT,96265.0,96167.33714285714,-97.66285714285914,96103.64098521248,96084.06620013968,22.77221744436306,122.07857142856872,55.703124999999744,490.943,long,-10.145209280928597,0
116,BNBUSDT,673.71,675.2703428571429,1.560342857142814,670.6176175262339,671.14388233567,16.232523317956005,2.1671428571428515,60.71428571428586,6312.01,long,23.160452674634694,1
117,BNBUSDT,676.3,674.4771428571428,-1.822857142857174,671.1267597345927,672.1607058685361,19.058401535676637,2.278571428571427,70.58823529411735,6265.91,long,-26.953380790435816,0
118,ETHUSDT,2690.07,2685.2785714285715,-4.791428571428696,2677.318384764223,2683.281185252716,30.853006774605127,5.989285714285708,82.09718670076674,12773.833,long,-17.811538626982554,0
119,BTCUSDT,95940.2,95865.13485714284,75.06514285714366,96167.58881709866,96105.14500507718,21.747921781484784,104.25714285714224,24.607329842931833,354.024,short,7.824159513651026,1
120,ETHUSDT,2703.42,2697.3388571428573,-6.081142857142822,2686.5297726289027,2691.3142479919284,26.51762935275855,7.601428571428544,65.8002115762431,14454.303,long,-22.494258595197277,0
121,ETHUSDT,2706.95,2714.4476,7.497600000000148,2688.0101238775146,2693.7133983935423,29.171304473874983,7.809999999999978,67.35429890363547,16517.671,long,27.69759323223609,1
122,ETHUSDT,2707.02,2713.213542857143,6.193542857142802,2690.43498864898,2697.723518714834,33.26229805041569,8.602142857142812,69.56960747191705,18339.943,long,22.87956076106864,1
123,ETHUSDT,2714.49,2720.6871428571426,6.197142857142808,2691.114079558071,2699.217518714834,33.26229805041569,8.607142857142824,76.81159420289816,27261.911,long,22.829860699957663,1
124,ETHUSDT,2720.34,2713.517714285714,-6.822285714285499,2698.95013375507,2709.3728780655965,44.89916623081509,8.527857142857133,79.07038161890941,21531.694,long,-25.0787979233697,0
125,ETHUSDT,2730.89,2736.7724,5.882399999999961,2708.123531670952,2717.9953140836274,52.87641576766688,8.169999999999975,82.05334190231358,23610.028,long,21.540230474314097,1
126,ETHUSDT,2737.04,2730.24,-6.800000000000182,2708.6826225800432,2719.2253140836274,53.18167054747587,8.499999999999968,83.66720280742796,42992.053,long,-24.84435740800347,0
127,ETHUSDT,2755.3,2764.2705142857144,8.970514285714216,2720.6777870127235,2734.525613318923,60.024511949952306,9.344285714285729,77.92470651733909,37786.278,long,32.55730514177845,1
128,ETHUSDT,2764.03,2756.2305714285717,-7.799428571428507,2721.47142337636,2736.2716133189233,60.22153082941045,9.749285714285731,80.2510864316755,53788.353,long,-28.217597390145936,0
