"symbol","Margin Mode","Position Side","Entry Price","Avg. Close Pirce","Max Open Interest","Closed Vol.","Closing PNL","Funding Fee","Transaction Fee","Transaction Fee(BNB)","Opened","Closed","Status"
"MATICUSDT","Cross","Short","0.55050000","0.55190000","75.00000000","75.00000000","-0.10500000","0E-8","-0.02064375","0E-8","2024-07-17 01:29:27.503","2024-07-17 01:31:26.793","Closed"
"MATICUSDT","Cross","Short","0.55320000","0.55120000","75.00000000","75.00000000","0.15000000","0E-8","-0.02074500","0E-8","2024-07-17 01:24:06.670","2024-07-17 01:28:15.893","Closed"
"MATICUSDT","Cross","Short","0.55460000","0.55260000","75.00000000","75.00000000","0.15000000","0E-8","-0.00831900","0E-8","2024-07-17 01:18:30.057","2024-07-17 01:22:55.100","Closed"
"MATICUSDT","Cross","Short","0.55260000","0.55420000","75.00000000","75.00000000","-0.12000000","0E-8","-0.00828900","0E-8","2024-07-17 01:15:33.873","2024-07-17 01:17:14.338","Closed"
"MATICUSDT","Cross","Long","0.54040000","0.54240000","100.00000000","100.00000000","0.20000000","0E-8","-0.01080800","0E-8","2024-07-16 23:00:43.829","2024-07-16 23:16:35.360","Closed"
"MATICUSDT","Cross","Short","0.53960000","0.54090000","100.00000000","100.00000000","-0.13000000","0E-8","-0.02698000","0E-8","2024-07-16 22:39:09.578","2024-07-16 22:46:13.834","Closed"
"MATICUSDT","Cross","Short","0.53910000","0.54060000","100.00000000","100.00000000","-0.15000000","0E-8","-0.02695500","0E-8","2024-07-16 22:30:12.943","2024-07-16 22:37:58.368","Closed"
"MATICUSDT","Cross","Long","0.54420000","0.54260000","100.00000000","100.00000000","-0.16000000","0E-8","-0.02721000","0E-8","2024-07-16 21:45:20.426","2024-07-16 22:04:25.942","Closed"
"MATICUSDT","Cross","Short","0.53520000","0.53630000","500.00000000","500.00000000","-0.55000000","0E-8","-0.05352000","0E-8","2024-07-16 14:39:55.268","2024-07-16 14:48:24.564","Closed"
"MATICUSDT","Cross","Short","0.53440000","0.53570000","500.00000000","500.00000000","-0.65000000","0E-8","-0.13360000","0E-8","2024-07-16 14:30:17.508","2024-07-16 14:37:15.026","Closed"
"BTCUSDT","Cross","Long","64028.00000000","63878.30000000","0.00400000","0.00400000","-0.59880000","0E-8","-0.12805600","0E-8","2024-07-16 12:29:22.832","2024-07-16 12:42:01.442","Closed"
"MATICUSDT","Cross","Long","0.53200000","0.53050000","75.00000000","75.00000000","-0.11250000","0E-8","-0.00797999","0E-8","2024-07-16 07:13:51.947","2024-07-16 07:16:58.096","Closed"
"MATICUSDT","Cross","Long","0.53190000","0.53250000","500.00000000","500.00000000","0.30000000","0E-8","-0.13297500","0E-8","2024-07-16 07:08:25.428","2024-07-16 07:09:51.954","Closed"
"MATICUSDT","Cross","Short","0.53060000","0.53160000","500.00000000","500.00000000","-0.50000000","0E-8","-0.13265000","0E-8","2024-07-16 07:01:53.684","2024-07-16 07:08:23.728","Closed"
"MATICUSDT","Cross","Long","0.54580000","0.54570000","500.00000000","500.00000000","-0.04999999","0E-8","-0.27287500","0E-8","2024-07-16 05:00:17.558","2024-07-16 05:00:41.600","Closed"
